deliveryPeriodIndex,advertiserCategoryIndex,realCPA,cum_cost,timeStepIndex
5.0,0.0,25.694140404832552,10.020079219387732,0.0
5.0,0.0,27.354223556552316,20.05324710680556,0.0
5.0,0.0,28.562943179937648,30.083766549945043,0.0
5.0,0.0,29.495342610157287,40.09113542056103,0.0
5.0,0.0,30.181687201612473,50.093595428112266,0.0
5.0,0.0,30.88323344198017,60.17091316927254,0.0
5.0,0.0,31.455440409112143,70.17621967875911,0.0
5.0,0.0,32.0188472714582,80.21307749706641,0.0
5.0,0.0,32.51372451063109,90.22029763320168,0.0
5.0,0.0,32.97948119789276,100.28195748812267,0.0
5.0,0.0,33.433418141384884,110.2828989208214,0.0
5.0,0.0,33.87719159818199,120.3023604184278,0.0
5.0,0.0,34.29278046497887,130.32207067433455,0.0
5.0,0.0,34.63175130713281,140.34093920263786,0.0
5.0,0.0,35.03741753272781,150.34335184570963,0.0
5.0,0.0,35.37296415994803,160.36248026056677,0.0
5.0,0.0,35.69160794586947,170.37339514993172,0.0
5.0,0.0,36.04704532601349,180.41592734898373,0.0
5.0,0.0,36.359614947441756,190.44150659681642,0.0
5.0,0.0,36.64266341725567,200.4559105754507,0.0
5.0,0.0,36.94756733774719,210.48591012093794,0.0
5.0,0.0,37.21231446708745,220.51921630151298,0.0
5.0,0.0,37.46026004374613,230.63173873783418,0.0
5.0,0.0,37.74095183309104,240.69505939704678,0.0
5.0,0.0,37.99854415143188,250.7185412140322,0.0
5.0,0.0,38.25409708635431,260.7289701282037,0.0
5.0,0.0,38.51484051971325,270.7451953150425,0.0
5.0,0.0,38.75232350287007,280.7657729150814,0.0
5.0,0.0,38.981802699621205,290.78250626618177,0.0
5.0,0.0,39.218652245384604,300.8207108410219,0.0
5.0,0.0,39.4216562424244,310.85686116330146,0.0
5.0,0.0,39.654198197566814,320.86627684340897,0.0
5.0,0.0,39.859026712968586,330.87104553176476,0.0
5.0,0.0,40.08429773999076,340.8788242536656,0.0
5.0,0.0,40.29091793236504,350.88517341939286,0.0
5.0,0.0,40.48895745288277,360.9522518859609,0.0
5.0,0.0,40.718457892241034,371.00726891878503,0.0
5.0,0.0,40.88376926249565,381.0153391706653,0.0
5.0,0.0,41.04113628629981,391.0522433743755,0.0
5.0,0.0,41.23312627544951,401.1230465948133,0.0
5.0,0.0,41.40599307631711,411.1535731779511,0.0
5.0,0.0,41.60454061366684,421.2214296773674,0.0
5.0,0.0,41.79912014606869,431.2472474998285,0.0
5.0,0.0,41.98869846773538,441.2564162303126,0.0
5.0,0.0,42.1351336494801,451.28062986903404,0.0
5.0,0.0,42.30891038340047,461.3333185308176,0.0
5.0,0.0,42.512211852643155,471.38795113424646,0.0
5.0,0.0,42.70692939680804,481.45510720290105,0.0
5.0,0.0,42.89132665358616,491.4882426043991,0.0
